season,player_id,player_name,position,weight,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint
2007,12226,JR Reynolds,PG,188.0,27.5,34.5,11.69,3.24
2007,201181,Chris Richard,PF,252.0,26.5,30.5,11.39,3.29
2007,12227,Dustin Salisbery,SG,208.0,34.0,38.0,11.07,3.12
2007,12228,Blake Schilb,SG,214.0,26.5,33.5,11.63,3.36
2007,12229,Renaldas Seibutis,SG,185.0,24.0,32.5,11.33,3.39
2007,201196,Ramon Sessions,PG,185.0,29.5,33.5,11.65,3.27
2007,201203,Mustafa Shakur,PG,185.0,28.5,35.0,11.82,3.27
2007,201160,Jason Smith,PF,233.0,33.5,37.5,10.96,3.29
2007,201199,DJ Strawberry,SG,199.0,28.5,35.0,10.87,3.14
2007,201155,Rodney Stuckey,SG-PG,207.0,30.5,35.0,11.34,3.11
2007,12230,Curtis Sumpter,SF,227.0,27.5,32.5,11.3,3.22
2007,201180,Yue Sun,SF,212.0,29.0,34.0,10.68,3.45
2007,201249,Jamaal Tatum,PG,168.0,28.5,33.0,11.51,3.22
2007,12232,Reyshawn Terry,SF,222.0,31.0,37.5,11.76,3.26
2007,201154,Al Thornton,SF,221.0,35.0,41.0,11.96,3.16
2007,201229,Anthony Tolliver,PF,242.0,28.5,30.0,11.49,3.29
2007,12233,Ali Traore,C-PF,249.0,25.0,29.0,12.16,3.52
2007,12234,Kyle Visser,C,242.0,26.0,29.0,12.6,3.39
2007,201208,Darryl Watkins,C,241.0,26.5,31.0,11.65,3.56
2007,12235,Major Wingate,C,242.0,27.5,30.5,12.14,3.47
2007,12236,DaShaun Wood,PG,167.0,31.5,34.5,11.4,3.23
2007,201153,Julian Wright,SF-PF,211.0,28.5,33.5,11.48,3.36
2007,201148,Brandan Wright,PF,200.0,30.5,35.5,11.76,3.31
2007,12237,Avis Wyatt,PF,212.0,27.5,32.0,11.46,3.23
2007,201146,Jianlian Yi,,,,,,
2007,201156,Nick Young,SG-SF,206.0,39.5,40.5,11.0,3.25
2007,201152,Thaddeus Young,SF,210.0,34.5,37.0,11.06,3.19
2008,201570,Joe Alexander,SF-PF,220.0,32.5,38.5,11.33,2.99
2008,201589,Darrell Arthur,PF,216.0,28.5,30.0,12.18,3.14
2008,201571,D.J. Augustin,PG,171.5,28.5,35.0,11.27,3.07
2008,201573,Jerryd Bayless,PG-SG,204.0,31.0,38.0,11.26,3.07
